,Title,Type,year,actors_info,language,subtitles
3249,La Aparición,film,2018,"['Vincent Lindon', 'Galatéa Bellugi', ""Patrick D'Assumçao"", 'Anatole Taubman', 'Elina Löwensohn', 'Bruno Georis']",['Español'],['Español']
3250,El método,short,2020,"['Edduardo Viera', 'Esther Acebo', 'Fernando Cayo', 'Assumpta Serna', 'Bernabé Fernández', 'Mario de la Rosa', 'Natalia Faura']",['Español'],['Inglés']
3251,La protagonista,film,2019,"['Rosario Varela', 'Macarena Suárez', 'Ignacio Rogers', 'Facundo Aquinos']",['Español'],['Inglés']
3252,Pursuit,film,1972,"['Ben Gazzara', 'E.G. Marshall', 'Joseph Wiseman', 'William Windom', 'Jim McMullan', 'Martin Sheen', 'Will Kuluva']",['Español'],['Español']
3253,Mascotas en el espacio,film,2010,[],['Español'],['Español']
3254,Pocahontas y el origen de la civilización,film,2016,[],['Español'],['Español']
3255,Una mujer frente al mar,short,2021,"['Gio Garcia Alonso', 'Claudia Benitos Comas']",['Español'],[]
3256,La felicidad de los perros,film,2018,"['Fran Paredes', 'Deborah Vukusic', 'Santi Prego', 'Isabel Naveira', 'Mariana Carballal']",['Español'],[]
3257,Skate Kitchen,film,2018,"['Rachelle Vinberg', 'Jaden Smith', 'Taylor Gray', 'Kabrina  Adams']",['Español'],['Español']
3258,María,short,2019,"['Luisa Gavasa', 'Lluís Marqués']",['Español'],['Inglés']
3259,Corto,short,2022,"['Marc Ferrer', 'La Prohibida', 'Maria Sola']",['Español'],[]
3260,Nomad: In the Footsteps of Bruce Chatwin,film,2019,[],['Varios'],[]
3261,Studio 54,film,2018,[],['Inglés'],['Español']
3262,El precio del arte,film,2018,[],['Inglés'],"['Español', 'Inglés']"
3263,The Letter,film,2019,[],['Suajili'],"['Español', 'Catalán', 'Inglés']"
3264,El Destierro,film,2007,"['Konstantin Lavronenko', 'Maria Bonnevie', 'Aleksandr Baluev', 'Dmitriy Ulyanov', 'Vitaliy Kishchenko', 'Maksim Shibayev', 'Yekaterina Kulkina', 'Aleksey Vertkov']",['Ruso'],['Español']
3265,Sin Amor,film,2016,"['Maryana Spivak', 'Alexey Rozin', 'Matvey Novikov', 'Marina Vasilyeva', 'Andris Keishs', 'Alexey Fateev']",['Español'],['Español']
3266,El Regreso,film,2004,"['Vladimir Garin', 'Ivan Dobronravov', 'Konstantin Lavronenko', 'Nataliya Vdovina']",['Español'],[]
3267,Salvando a Grace B. Jones,film,2009,"[""Tatum O'Neal"", 'Michael Biehn', 'Penelope Ann Miller', 'Joel Gretsch', 'Rylee Fansler']","['Catalán', 'Español', 'Inglés']","['Español', 'Catalán']"
3268,Pixies,film,2015,[],"['Catalán', 'Español', 'Inglés']",['Catalán']
3269,Pa'Trás Ni Pa'Tomar Impulso,film,2020,[],['Español'],[]
3270,Diario Argentino,film,2007,[],['Español'],[]
3271,Palestine,film,2017,"['Mohamed El Badaoui', 'Amal Ayouch', 'Abdelkader Dourkan', 'Sarah Perles', 'Wesam Zendah']",['Varios'],[]
3272,La Plaza,film,2016,[],['Español'],['Inglés']
3273,Una película póstuma,film,2022,"['Pere Ponce', 'Paula Usero', 'Vito Sanz', 'Ana Risueño', 'Alexandra Restrepo', 'Camilo Rodríguez', 'Francesco Carril']",['Español'],['Inglés']
3274,Chillida: La mano vacía,film,2017,[],['Varios'],[]
3275,Postales desde el filo,film,1990,"['Meryl Streep', 'Shirley MacLaine', 'Gene Hackman', 'Dennis Quaid', 'Simon Callow', 'Richard Dreyfuss']",['Español'],['Español']
3276,Harry & Bip,serie,2016,[],['Ninguno'],[]
3277,Tinto de verano,film,2013,"['Elsa Pataky', 'Marcia Gay Harden', 'Kelsey Chow', 'Ethan Peck', 'Sonia Braga', 'Najwa Nimri', 'Mimi Gianopoulos']","['Catalán', 'Español', 'Inglés']","['Español', 'Catalán']"
3278,Petunia,film,2012,"['Thora Birch', 'Brittany Snow', 'Eddie Kaye Thomas', 'Christine Lahti', 'Michael Urie', 'Tobias Segal']","['Catalán', 'Español', 'Inglés']","['Español', 'Catalán']"
3279,La trampa del asesino,film,2010,"['Michael Madsen', 'Harold Perrineau', 'Amber Benson', 'Jake Busey', 'Danny Trejo', 'Kevin Gage', 'Lew Temple']","['Catalán', 'Español', 'Inglés']","['Catalán', 'Español']"
3280,Lecciones que recordar,film,2010,"['Maggie Grace', 'Christine Lahti', 'Cary Elwes', 'Jonathan Tucker', 'Ian Anthony Dale', 'Hal Holbrook', ""Michael O'Neill"", 'Joanna Cassidy']","['Catalán', 'Español', 'Inglés']","['Español', 'Catalán']"
3281,Tres veces,short,2020,"['Koldo Olabarri', 'Frank Feys', 'Laura Blázquez', 'Ione Irazábal']",['Inglés'],[]
3282,Carretera nacional,film,2022,[],['Español'],[]
3283,Venís desde lejos,film,2018,[],['Ruso'],['Español']
3284,Existir es resistir,film,2018,[],['Varios'],"['Español', 'Inglés']"
3285,Parking,film,2019,"['Mihai Smarandache', 'Belén Cuesta', 'Ariadna Gil', 'Luis Bermejo', 'Manuel Bandera', 'Valentin Popescu', 'Emilian Oprea']",['Español'],[]
3286,Nevrland,film,2019,"['Simon Frühwirth', 'Paul Forman', 'Josef Hader', 'Wolfgang Hübsch']",['Varios'],['Español']
3287,El juego del asesino,film,2018,"['Henry Cavill', 'Ben Kingsley', 'Stanley Tucci', 'Alexandra Daddario', 'Nathan Fillion', 'Minka Kelly', 'Brendan Fletcher']",['Inglés'],['Español']
3288,A Colony,film,2018,"['Emilie Bierre', 'Robin Aubert', 'Madeleine Blais-Tremblay', 'Irlande Côté', 'Noémie Godin-Vigneau', 'Cassandra Gosselin Pelletier', 'Jacob Whiteduck-Lavoie']",['Francés'],['Español']
3289,Restoring Dignity. Un viaje con supervivientes de noma,film,2018,[],['Varios'],[]
3290,Invisibles,film,2007,[],['Varios'],['Español']
3291,Ikarie XB 1,film,1963,"['Zdenek Stepánek', 'Frantisek Smolík', 'Dana Medrická', 'Irena Kacírková']",['Checo'],[]
3292,Crónica Médica,serie,2020,[],['Varios'],"['Español', 'Inglés']"
3293,Próxima,film,2019,"['Eva Green', 'Matt Dillon', 'Zélie Boulant', 'Sandra Huller', 'Lars Eidinger', 'Aleksey Fateev']",['Español'],['Español']
3294,Parabellum,film,2015,"['Eva Bianco', 'Pablo Seijo', 'Martín Shanly']",['Español'],[]
3295,"Wojtyla, la investigación",film,2020,[],['Varios'],"['Español', 'Inglés']"
3296,Lesbo Killer Dolls,film,2014,"['Lina Servant', 'Mary Blond', 'Salvador Sáinz', 'Carmen del Toro']",['Español'],[]
3297,I-religeoux,film,2019,"['Alejandro Fuster', 'Luz Gómez', 'Lluis Rugama Espasa', 'Batseba Comino', 'Salvador Sáinz']",['Ninguno'],[]
3298,Dracula 0.9,film,2012,"['Javier Caffarena', 'Antonio Del Río', 'Francisco Del Río', 'Paul Lapidus', 'Nathalie Legosles', 'Jose Luis Matoso', 'Carmen Montes', 'Virginia Palomino']",['Español'],[]
3299,Más allá del reto de Eva,film,2020,[],['Español'],[]
3300,Verano,short,2019,"['Pau Zeiss', 'Sebastián Atienza']",['Español'],[]
3301,Hombre en la llanura,film,2018,[],['Español'],['Inglés']
3302,El leñador (Braven),film,2018,"['Jason Momoa', 'Stephen Lang', 'Garret Dillahunt', 'Zahn McClarnon', 'Jill Wagner']",['Español'],['Español']
3303,Hijos de la ultraderecha,film,2019,"['Imad Abul-Foul', 'Rasmus Bjerg', 'Morten Holst', 'Elliott Crosset Hove', 'Olaf Johannessen']",['Danés'],"['Español', 'Catalán']"
3304,Xulia,short,2019,[],['Español'],['Inglés']
3305,Un Multiverso de Historias,film,2020,[],['Original'],[]
3306,Joyas Queer,serie,2021,[],['Español'],[]
3307,Tesoros y Fantasmas de la Ciencia Española,serie,2021,[],['Español'],['Inglés']
3308,Los Muchos Triángulos Rosas,short,2020,[],['Español'],"['Español', 'Portugués']"
3309,Las Épicas Aventuras de Morph,serie,2020,[],['Ninguno'],[]
3310,100.000 Acres of pine,short,2020,[],['Inglés'],[]
3311,My friend who shines in the night,short,2020,[],['Francés'],[]
3312,"Filles bleues, peur blanche",short,2020,[],['Francés'],[]
3313,La tempête,short,2019,[],['Francés'],[]
3314,Coffin,short,2020,[],['Original'],[]
3315,Sogni al campo,short,2020,[],['Original'],[]
3316,Polka-dot boy,short,2020,[],['Original'],[]
3317,Funeral,short,2020,[],['Original'],[]
3318,Final Act,short,2019,[],['Original'],[]
3319,Opinici,short,2019,[],['Rumano'],[]
3320,Sirenas (1993),film,1993,"['Hugh Grant', 'Sam Neill', 'Tara Fitzgerald', 'Ben Mendelsohn', 'Julia Stone', 'Elle MacPherson', 'Portia de Rossi', 'Kate Fischer']","['Español', 'Inglés']",[]
