,Title,Type,year,actors_info,language,subtitles
0,Wakefield,serie,2021,"['Rudi Dharmalingam', 'Geraldine Hakewill', 'Mandy McElhinney', 'Felicity Ward', 'Harry Greenwood', 'Sam Simmons', 'Victoria Haralabidou', 'Dan Wyllie', 'Miritana Hughes']","['Inglés', 'Español']","['Catalán', 'Inglés', 'Español']"
1,Living,film,2022,"['Bill Nighy', 'Aimee Lou Wood', 'Tom Burke', 'Alex Sharp', 'Colin Blyth', 'Richard Cunningham', 'Michael Cochrane', 'Anant Varman', 'Jessica Flood', 'Jamie Wilkes']","['Inglés', 'Catalán', 'Español']","['Español', 'Inglés', 'Catalán']"
2,La interpretación de Rose,film,2020,"['Ann Skelly', 'Orla Brady', 'Aidan Gillen', 'Catherine Walker', 'Sadie Soverall', 'Anabell Rickerby']","['Español', 'Inglés']",['Español']
3,Plan A,film,2021,"['Sylvia Hoeks', 'Michael Aloni', 'August Diehl', 'Nikolai Kinski', 'Milton Welsh', 'Oz Zehavi']","['Catalán', 'Español', 'Inglés']","['Catalán', 'Español']"
4,Cuerpo Abierto,film,2022,"['Tamar Novas', 'Victoria Guerra', 'María Vázquez', 'Federico Pérez', 'Elena Seijo', 'Miquel Insua', 'José Fidalgo']","['Varios', 'Español']","['Español', 'Gallego']"
5,selftape,serie,2023,"['Joana Vilapuig', 'Mireia Vilapuig', 'Joan Esteve', 'Lluís Marqués', 'Yolanda Sey', 'Marc Ribera', 'Pablo Derqui', 'Abril Zamora', 'Camila Ruiz', 'Pablo Álvarez']",['Varios'],"['Catalán', 'Inglés', 'Español']"
6,Endeavour: El final,serie,2023,"['Shaun Evans', 'Roger Allam', 'James Anderson', 'Rob Ostlere', 'Jack Bannon', 'Sara Vickers', 'Sean Rigby', ""Caroline O'Neill""]","['Inglés', 'Español']","['Español', 'Inglés']"
7,Broker,film,2022,"['Lee Ji-Eun', 'Song Kang-ho', 'Gang Dong-won', 'Bae Doona', 'Lee Joo-young', 'Bek Hyun-jin', 'Ryu Kyung-Soo', 'Kang Gil Woo']","['Coreano', 'Catalán', 'Español']","['Español', 'Inglés', 'Catalán']"
8,Suro,film,2022,"['Vicky Luengo', 'Pol López', 'Ilyass El Ouahdani', 'Josep Maria Gómez', 'Vicente Botella', 'Nelson Caballero', 'Joan Carrillo', 'Roc Coll', 'Josep Estragués']","['Varios', 'Español']","['Español', 'Catalán', 'Inglés']"
9,Miss Willoughby y la librería embrujada,film,2021,"['Nathalie Cox', 'Kelsey Grammer', 'Louise Bangay', 'Tara Fitzgerald', 'Steven Elder', 'Caroline Quentin', 'Nicholas Jones', 'Wayne Gordon']","['Catalán', 'Español', 'Inglés']","['Español', 'Catalán']"
10,Una librería en París,film,2021,"['Sergio Castellitto', 'Bérénice Bejo', 'Matilda De Angelis', 'Nassim Lyes', 'Clementino ', 'Sandra Milo', 'Alex Lutz']","['Varios', 'Catalán', 'Español']",['Español']
11,Geografías de la Soledad,film,2022,[],['Inglés'],['Español']
12,Un romance con Fígaro,film,2020,"['Danielle Macdonald', 'Hugh Skinner', 'Joanna Lumley', 'Shazad Latif', 'Gary Lewis', 'Rebecca Benson', 'Ian Hammore']","['Español', 'Inglés']",['Español']
13,Los consejos del Dr. Bird para poetas tristes,film,2020,"['Chase Stokes', 'Taylor Russell', 'Jason Isaacs', 'Lisa Edelstein', 'David Arquette', 'Tom Wilkinson', 'Odiseas Georgiadis']","['Español', 'Inglés']",['Español']
14,Vasil,film,2022,"['Ivan Barnev', 'Karra Elejalde', 'Alexandra Jiménez', 'Susi Sanchez', 'Sue Flack', 'Lorena López', 'Pepo Blasco', 'Pepa Juan']","['Español [ad]', 'Español']","['Español [cc]', 'Inglés']"
15,Gold Run,film,2022,"['Jon Øigarden', 'Axel Bøyum', 'Anatole Taubman', 'Sven Nordin', 'Pål Anders Nordvi', 'Bjørnar Bruun', 'Ida Elise Broch', 'Gard B. Eidsvold', 'Thorbjørn Harr', 'Eivind Sander', 'Morten Svartveit', 'Lars Berge', 'Terje Strømdahl']","['Español', 'Noruego']","['Español', 'Catalán']"
16,¡Dolores Guapa!,film,2022,[],['Español'],"['Español', 'Inglés']"
17,Una y otra vez (Life After Life),serie,2022,"['Thomasin McKenzie', 'Leslie Manville', 'Muki Zubis', 'Isla Johnston', 'Sadie Byron', 'Gus Turner', 'Zachary Nachbar-Seckel', 'Ron Cook']","['Inglés', 'Español']","['Español', 'Catalán', 'Inglés']"
18,We are Lady Parts,serie,2021,"['Anjana Vasan', 'Sarah Kameela Impey', 'Faith Omole', 'Lucie Shorthouse', 'Juliette Motamed']","['Inglés', 'Español']","['Español', 'Catalán', 'Inglés']"
19,Agatha y los asesinatos de medianoche,film,2020,"['Helen Baxendale', 'Blake Harrison', 'Jacqueline Boatswain', 'Gina Bramhill', 'Daniel Caltagirone', 'Thomas Chaanhing', 'Scott Chambers', 'Vanessa Grasse', 'Jodie McNee']",['Español'],[]
20,Agatha y la maldición de Ishtar,film,2019,"['Jonah Hauer-King', 'Lyndsey Marshall', 'Bronagh Waugh', 'Jack Deam', 'Rory Fleck-Byrne', 'Crystal Clarke', 'Stanley Townsend', 'Katherine Kingsley']",['Español'],[]
21,Ryuichi Sakamoto: Coda,film,2017,[],['Japonés'],['Español']
22,Endeavour,serie,2022,"['Shaun Evans', 'Roger Allam', 'Anton Lesser', 'James Bradshaw', 'Sean Rigby', ""Caroline O'Neill"", 'Sara Vickers', 'Abigail Thaw', 'Jack Laskey', 'Jack Bannon', 'Simon Harrison']",['Español'],[]
23,Submission,film,2018,"['Stanley Tucci', 'Addison Timlin', 'Janeane Garofalo', 'Kyra Sedgwick', 'Ritchie Coster', 'Colby Minifie', 'Alison Bartlett', 'Juan Castano', 'David Pittu']","['Inglés', 'Español']",['Español']
24,The Free World,film,2016,"['Boyd Holbrook', 'Elisabeth Moss', 'Octavia Spencer', 'Sue-Lynn Ansari', 'Waleed Zuaiter', 'Darren Pettie', 'James Moses Black']","['Inglés', 'Español']",['Español']
25,"Las cosas que decimos, las cosas que hacemos",film,2020,"['Camélia Jordana', 'Niels Schneider', 'Vincent Macaigne', 'Jenna Thiam', 'Émilie Dequenne', 'Guillaume Gouix', 'Julia Piaton', 'Jean-Baptiste Anoumon', 'Fanny Gatibelza']","['Francés', 'Español']","['Español', 'Catalán']"
26,La perfecta desconocida,film,2016,"['Rachel Weisz', 'Michael Shannon', 'Kathy Bates', 'Danny Glover', 'Chris Lowell', 'Erin Darke', 'Michael Chernus', 'Condola Rashad', 'Azita Ghanizada']","['Varios', 'Español']",['Español']
27,Matria,short,2017,[],['Gallego'],[]
28,María Casares. La mujer que vivió mil vidas,film,2022,[],['Varios'],"['Gallego', 'Gallego', 'Francés', 'Español']"
29,El combate de Keiko,film,2022,"['Yukino Kishii', 'Tomokazu Miura', 'Masaki Miura', 'Shinichirô Matsuura', 'Himi Satô', 'Hiroko Nakajima', 'Nobuko Sendô', 'Makiko Watanabe']",['Japonés'],"['Español', 'Catalán']"
30,La segunda oportunidad,film,2022,"['Dianna Agron', 'Dustin Hoffman', 'Simon Helberg', 'Candice Bergen', 'Charlie Weber', 'Justin Chu Cary', 'Mellanie Hubert', 'Julian Gant', 'Michal Birnbaum', 'Sweta Keswani', 'Gabi Faye']","['Inglés', 'Español']","['Español', 'Catalán']"
31,Godard Cinema,film,2022,[],['Varios'],"['Español', 'Inglés']"
32,Nueve Meses,film,1978,"['Lili Monori', 'Jan Nowicki', 'Kati Berek', 'Djoko Rosic', 'Hedvig Demeter', 'Ildikó Szabó', 'Mária Dudás', 'Gyöngyvér Vígh', 'Olga Koós']",['Húngaro'],"['Español', 'Catalán', 'Gallego']"
33,Adopción,film,1975,"['Kati Berek', 'Gyöngyvér Vígh', 'Péter Fried', 'Laszló Szábó', 'Flóra Kádár', 'János Boros', 'Erzsi Varga']",['Húngaro'],"['Español', 'Catalán', 'Gallego']"
34,Las herederas (1980),film,1980,"['Isabelle Huppert', 'Lili Monori', 'Jan Nowicki', 'Zita Perczel', 'Sándor Szabó', 'Zsolt Körtvélyessy', 'Witold Holtz', 'Éva Gyulányi', 'Zoltán Jancsó', 'Judit Hernádi']",['Varios'],['Español']
35,Una dulce revolución,film,2021,"['Kelsey Grammer', ' Anna Friel', 'Sean Astin', 'Diane Ladd', 'Courtney Gains', 'Jill Marie Jones', 'Tina Ivlev', 'Aml Ameen', 'Augie Duke', 'Rhoda Griffis']","['Inglés', 'Catalán', 'Español']",['Español']
36,Club de padres,film,2020,"['Vincent Dedienne', 'Camélia Jordana', 'Oscar Pauleau', 'Alix Poisson', 'Samir Guesmi']",['Español'],[]
37,Siempre contigo,film,2020,"['Shai Avivi', 'Noam Imber', 'Smadi Wolfman', 'Efrat Ben-Zur', 'Amir Feldman', 'Sharon Zelikovsky', 'Natalia Faust', 'Uri Klauzner', 'Avraham Shalom Levi', 'Omri Levi']","['Hebreo', 'Español']",['Español']
38,Lost in Translation,film,2003,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Ryuichiro Baba', 'Anna Faris', 'Kazuko Shibata', 'Kazuyoshi Minamimagoe', 'Akiko Takeshita']","['Varios', 'Español']",['Español']
39,Gladiator,film,2000,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Richard Harris', 'Oliver Reed', 'Derek Jacobi', 'Djimon Hounsou', 'David Schofield', 'John Shrapnel']","['Español', 'Inglés']",['Español']
40,21 gramos,film,2003,"['Sean Penn', 'Naomi Watts', 'Benicio Del Toro', 'Charlotte Gainsbourg', 'Danny Huston', 'Melissa Leo', 'Clea DuVall', 'Chance Romero']","['Español', 'Inglés']",['Español']
41,E.T. el extraterrestre,film,1982,"['Henry Thomas', 'Dee Wallace', 'Drew Barrymore', 'Peter Coyote', 'Robert MacNaughton', 'K.C. Martel', 'Sean Frye', 'Thomas Howell', 'Erika Eleniak']","['Español', 'Inglés']",['Español']
42,8 millas,film,2002,"['Eminem ', 'Kim Basinger', 'Mekhi Phifer', 'Brittany Murphy', 'Evan Jones', 'Omar Benson Miller', 'Michael Shannon', ""De'Angelo Wilson"", 'Eugene Byrd', 'Taryn Manning', 'Proof ']","['Español', 'Inglés']",['Español']
43,Marriage,serie,2022,"['Sean Bean', 'Nicola Walker', 'Henry Lloyd-Hughes', 'Chantelle Alle', 'Jack Holden', 'James Bolam', 'Makir Ahmed', 'Ella Augustin', 'Kath Hughes', 'Shona McHugh', 'Miles Barrow', 'Philippa Carson', 'Michael Jinks', 'Dannie Harris', 'Neal Barry']","['Inglés', 'Español']","['Español', 'Catalán', 'Inglés']"
44,El otro Bond,film,2022,[],['Varios'],"['Español', 'Inglés']"
45,The Conductor,film,2021,[],['Inglés'],['Español']
46,Mis problemas con el matrimonio,film,2022,"['Dagmara Dominczyk', 'Michele Pawk', 'Matthew Modine', 'Cameron Monaghan', 'Stephen Lang', 'Iluta Alsberga']",['Inglés'],"['Inglés', 'Español']"
47,Juego peligroso,film,1993,"['Madonna ', 'Harvey Keitel', 'James Russo', 'Nancy Ferrara', 'Victor Argo']","['Inglés', 'Español']",['Español']
48,Mcaine,film,2021,['Michael Caine'],['Varios'],['Español']
49,Un lugar llamado casa,film,2022,[],['Varios'],"['Español', 'Catalán', 'Inglés']"
50,Midnight Family,film,2019,[],['Español'],['Catalán']
51,Los constructores de la Alhambra,film,2022,[],['Español'],[]
52,Maborosi,film,1995,"['Makiko Esumi', 'Takashi Naitô', 'Tadanobu Asano', 'Gohki Kashiyama', 'Midori Kiuchi', 'Akira Emoto', 'Hiromi Ichida', 'Minori Terada']",['Japonés'],"['Catalán', 'Español']"
53,La cocina de los hombres,film,2022,[],['Español'],[]
54,Upright,serie,2022,"['Tim Minchin', 'Milly Alcock', 'Heather Mitchell', 'Ella Scott Lynch', 'Daniel Lapaine']","['Inglés', 'Español']",['Español']
55,Rey Lear,film,2018,"['Anthony Hopkins', 'Florence Pugh', 'Emma Thompson', 'Emily Watson', 'Andrew Scott', 'Jim Broadbent', 'Jim Carter', 'Tobias Menzies', 'John Macmillan', 'Christopher Eccleston', 'Simon Manyonda']","['Inglés', 'Español']",['Español']
56,Plaza Catedral,film,2021,"['Ilse Salas', 'Fernando Xavier De Casta', 'Manolo Cardona', 'Marcos Bernal Lopez', 'Luan Sampo Valdés', 'Elsa Fajardo', 'Abner Benaim', 'Nick Romano', 'Oris Mayte Nicholson']",['Español'],['Inglés']
57,Algunas Bestias,film,2019,"['Paulina García', 'Alfredo Castro', 'Andrew Bargsted', 'Gastón Salgado', 'Consuelo Carreño', 'Nicolas Zarate']",['Español'],"['Inglés', 'Español']"
58,Sonne,film,2022,"['Awini Barwari', 'Melina Benli', 'Maya Wopienka', 'Kerim Dogan', 'Omar Ayub', 'Marlene Hauser', 'Thomas Momcinovic', 'Margarete Tiesel', 'Lia Wilfing', 'Peter Rapp']",['Varios'],"['Español', 'Inglés', 'Catalán']"
59,Grantchester,serie,2020,"['James Norton', 'Robson Green', 'Tessa Peake-Jones', 'Al Weaver', 'Kacey Ainsworth', 'Skye Lucia Degruttola', 'Tom Brittney', 'Nick Brimble', 'Oliver Dimsdale', 'Bradley Hall']","['Español', 'Inglés']",['Español']
60,Entrevistas breves con hombres repulsivos,film,2009,"['Julianne Nicholson', 'Timothy Hutton', 'Corey Stoll', 'Chris Messina', 'Max Minghella', 'John Krasinski', 'Bobby Cannavale', 'Dominic Cooper', 'Frankie Faison', 'Lou Taylor Pucci']",['Inglés'],['Español']
61,Mis pequeños amores,film,1974,"['Martin Loeb', 'Ingrid Caven', 'Jacqueline Dufranne', 'Dionys Mascolo', 'Maurice Pialat', 'Caroline Loeb', 'Vincent Testanière', 'Brigitte Pangaud']",['Francés'],"['Inglés', 'Español']"
62,Apples,film,2020,"['Aris Servetalis', 'Sofia Georgovassili', 'Anna Kalaitzidou', 'Argyris Bakirtzis', 'Kostas Laskos']",['Griego'],['Español']
63,La vida de David Gale,film,2003,"['Kevin Spacey', 'Kate Winslet', 'Laura Linney', 'Gabriel Mann', 'Matt Craven', 'Leon Rippy', 'Rhona Mitra', 'Jim Beaver', 'Melissa McCarthy', 'Cleo King']","['Español', 'Inglés']",['Español']
64,Alan Vega Live at Rockpalast,film,2022,[],['Inglés'],[]
65,Stonehouse,serie,2023,"['Matthew Macfadyen', 'Keeley Hawes', 'Kevin McNally', 'Dorothy Atkinson', 'Alan Sylvester', 'Orla Hill', 'Emer Heatley', 'Aoife Checkland']","['Español', 'Inglés']","['Español', 'Catalán', 'Inglés']"
66,Charlatán,film,2020,"['Ivan Trojan', 'Josef Trojan', 'Juraj Loj', 'Jaroslava Pokorná', 'Jirí Cerný', 'Miroslav Hanus', 'Ladislav Kolár', 'Martin Sitta', 'Jan Vlasák', 'Barbora Milotová', 'Milena Sajdkova', 'Magdaléna Borová']","['Varios', 'Español']",['Español']
67,Magaluf Ghost Town,film,2021,[],['Español'],['Inglés']
68,Hilma,film,2022,"['Tora Hallström', 'Lena Olin', 'Tom Wlaschiha', 'Lily Cole', 'Martin Wallström', 'Maeve Dermody', 'Catherine Chalk', 'Rebecca Calder', 'Jazzy De Lisser', 'Adam Lundgren']","['Español', 'Inglés']","['Español', 'Catalán']"
69,Lamb,film,2021,"['Noomi Rapace', 'Hilmir Snaer Gudnason', 'Björn Hlynur Haraldsson']","['Islandés', 'Español']","['Español', 'Catalán']"
70,Memories of murder (Crónica de un asesino en serie),film,2003,"['Kang-ho Song', 'Sang-kyung Kim', 'Roe-ha Kim', 'Jae-ho Song', 'Byun Hee-bong', 'Seo-hie Ko', 'Tae-ho Ryu', 'No-shik Park', 'Park Hae-il', 'Mi-seon Jeon']","['Varios', 'Español']",['Español']
71,El Oficio de Aprender,film,2022,"['Najaa Bensaid', 'Pio Marmaï', 'Agnès Jaoui']","['Español [ad]', 'Catalán', 'Español', 'Francés']","['Español', 'Catalán', 'Español [cc]']"
72,La Noche del 12,film,2022,"['Bastien Bouillon', 'Bouli Lanners', 'Theo Cholbi', 'Johann Dionnet', 'Thibaut Evrard', 'Julien Frison', 'Paul Jeanson', 'Mouna Soualem', 'Pauline Serieys']","['Español', 'Francés']","['Español', 'Catalán']"
73,El agua,film,2022,"['Bárbara Lennie', 'Nieve de Medina', 'Luna Pamiés', 'Alberto Olmo', 'Pascual Valero', 'Mireia Sanchez Parres']","['Español [ad]', 'Español']",['Español']
74,Showgirls,film,1995,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon', 'Glenn Plummer', 'Robert Davi', 'Alan Rachins']","['Inglés', 'Catalán', 'Español']","['Español', 'Catalán']"
75,Los perros no llevan pantalones,film,2019,"['Pekka Strang', 'Ester Geislerová', 'Ellen Karppo', 'Armands Reinis', 'Jani Volanen', 'Ilona Huhta', 'Oona Airola', 'Iiris Anttila', 'Krista Kosonen', 'Samuel Shipway']",['Finés'],"['Español', 'Inglés']"
76,1976,film,2022,"['Aline Küppenheim', 'Nicolás Sepúlveda', 'Hugo Medina', 'Alejandro Goic', 'Carmen Gloria Martínez', 'Antonia Zegers', 'Marcial Tagle', 'Amalia Kassai', 'Gabriel Urzúa', 'Luis Cerda']",['Español'],"['Español', 'Inglés']"
77,Kids,film,1995,"['Leo Fitzpatrick', 'Justin Pierce', 'Chloë Sevigny', 'Rosario Dawson', 'Harold Hunter', 'Jon Abrahams', 'Hamilton Harris', 'Jeff Pang', 'Joseph Chan', 'Adriane Brown', 'Sajan Bhagat', 'Billy Valdes']","['Inglés', 'Español']",['Español']
78,Fucking Amal,film,1998,"['Alexandra Dahlström', 'Rebecka Liljeberg', 'Erica Carlson', 'Ralph Carlsson', 'Mathias Rust']","['Sueco', 'Español']",['Español']
79,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",film,1975,"['Delphine Seyrig', 'Henri Storck', 'Jan Decorte', 'Jacques Doniol-Valcroze', 'Yves Bical']",['Francés'],"['Catalán', 'Español']"
80,The Nowhere Inn,film,2020,"['St. Vincent', 'Carrie Brownstein', 'Ezra Buzzington', 'Robert Miano', 'Toko Yasuda', 'Chris Aquilino', 'Tema Louise Sall', 'Erica Acevedo']",['Inglés'],['Español']
81,The Gigantes,film,2021,"['S.J. Smith', 'Andrea Sutton', 'Ana Layevska', 'Regina Orozco', 'Kristyan Ferrer', 'Mimí Lazo', 'Luisa Almaguer', 'Sebastián Buitrón', 'Angélica Castro', 'Kevin Indio Copeland', 'Pedro De Tavira', 'Jennifer Jonassen']",['Varios'],"['Inglés', 'Español']"
82,Belushi,film,2020,[],['Inglés'],['Español']
83,"Dragon, la vida de Bruce Lee",film,1993,"['Jason Scott Lee', 'Lauren Holly', 'Robert Wagner', 'Michael Learned', 'Nancy Kwan', 'Ric Young', 'Eric Bruskotter', 'Wang Luoyong', 'Lim Kay Tong']","['Varios', 'Español']","['Español', 'Inglés']"
84,Crooklyn,film,1993,"['Zelda Harris', 'Alfre Woodard', 'Delroy Lindo', 'David Patrick Kelly', 'Carlton Williams', 'Sharif Rashed', 'Spike Lee']","['Inglés', 'Español']",['Español']
85,"Buenas noches, madre",film,1986,"['Sissy Spacek', 'Anne Bancroft', 'Michael Kenworthy', 'Claire Malis', 'Jennifer Roosendahl', 'Ed Berke', 'Carol Robbins']","['Español', 'Inglés']",['Español']
86,Hide and Seek,film,2021,"['Jonathan Rhys-Meyers', 'Joe Pantoliano', 'Jacinda Barrett', 'Mustafa Shakir', 'Geoffrey Owens', 'Marcella Lentz-Pope', 'Quinn McColgan', 'Barbara Rosenblat', 'Michael Godere']","['Inglés', 'Español']",['Español']
87,Un Segundo,film,2020,"['Yi Zhang', 'Haocun Liu', 'Wei Fan', 'Ailei Yu', 'Shaobo Zhang', 'Xiaochuan Li', 'Yan Li', 'Yunlong Liu']","['Mandarín', 'Catalán', 'Español']","['Español', 'Catalán']"
88,El Efecto Marcus (Los casos del Departamento Q),film,2021,"['Ulrich Thomsen', 'Zaki Youssef', 'Sofie Torp', 'Anders Matthesen', 'Lobus Olàh', 'Henrik Noél Olesen']",['Español'],"['Español', 'Catalán']"
89,Shakespeare enamorado,film,1998,"['Gwyneth Paltrow', 'Joseph Fiennes', 'Judi Dench', 'Geoffrey Rush', 'Tom Wilkinson', 'Colin Firth', 'Ben Affleck', 'Simon Callow', ""Steven O'Donnell""]","['Inglés', 'Español']",['Español']
90,Elizabeth,film,1998,"['Cate Blanchett', 'Geoffrey Rush', 'Christopher Eccleston', 'Joseph Fiennes', 'Richard Attenborough', 'Vincent Cassel', 'Fanny Ardant', 'Kathy Burke', 'Eric Cantona', 'James Frain']","['Español', 'Inglés']",['Español']
91,"Bean, lo último en cine catastrófico",film,1997,"['Rowan Atkinson', 'Peter MacNicol', 'Pamela Reed', 'Harris Yulin', 'Burt Reynolds', 'Peter Egan', 'John Mills', 'Tricia Vessey']","['Español', 'Inglés']",['Español']
92,Marwa. Pequeña y valiente,film,2019,[],['Árabe'],"['Catalán', 'Inglés', 'Español']"
93,El agente de la condicional,film,2002,"['Steve Coogan', 'Lena Headey', 'Simon Pegg', 'Omar Sharif', 'Om Puri', 'Steven Waddington', 'Ben Miller', 'Stephen Dillane', 'Jenny Agutter']","['Español', 'Inglés']",['Español']
94,Sleepers,film,1996,"['Kevin Bacon', 'Robert De Niro', 'Dustin Hoffman', 'Jason Patric', 'Brad Pitt', 'Minnie Driver', 'Vittorio Gassman', 'Ron Eldard', 'Brad Renfro', 'Billy Crudup']","['Español', 'Inglés']",['Español']
95,El Seductor,film,1971,"['Clint Eastwood', 'Geraldine Page', 'Elizabeth Hartman', 'Jo Ann Harris', 'Darleen Carr', 'Mae Mercer', 'Pamelyn Ferdin', 'Melody Thomas Scott']","['Español', 'Inglés']",['Español']
96,Jerk,film,2021,['Jonathan Capdevielle'],['Francés'],"['Español', 'Inglés']"
97,"La Doncella, Director's Cut",film,2016,"['Kim Min-hee', 'Tae-ri Kim', 'Jung-woo Ha', 'Jin-woong Jo', 'Hae-suk Kim', 'So-ri Moon']",['Varios'],['Español']
98,El que sabem,film,2021,"['Nakarey ', 'Javier Amann', 'Fran Morales', 'Mauro Cervera Just', 'Tània Fortea', 'Rosita Amores', 'Samantha Hudson']",['Varios'],['Español']
99,Nana,film,2022,"['Arswendy Bening Swara', 'Happy Salma', 'Laura Basuki', 'Ibnu Jamil', 'Rieke Diah Pitaloka', 'Arawinda Kirana', 'Chempa Puteri']","['Indonesio', 'Español']","['Catalán', 'Español', 'Inglés']"
100,"Quo Vadis, Aida?",film,2020,"['Jasna Djuricic', 'Izudin Bajrovic', 'Boris Ler', 'Dino Bajrovic', 'Johan Heldenbergh', 'Raymond Thiry', 'Boris Isakovic', 'Emir Hadzihafizbegovic', 'Reinout Bussemaker', 'Teun Luijkx', 'Juda Goslinga']",['Español'],"['Español', 'Catalán']"
101,Una revolución pornográfica,film,2022,[],['Varios'],"['Inglés', 'Español', 'Catalán']"
102,The Mauritanian,film,2021,"['Jodie Foster', 'Shailene Woodley', 'Benedict Cumberbatch', 'Tahar Rahim', 'Clayton Boyd', 'Denis Menóchet', 'Corey Johnson', 'Adam Neill', 'Darron Meyer', 'Lionel Strasky', 'Langley Kirkwood', 'Zachary Levi']",['Español'],"['Español', 'Catalán']"
103,La integridad de Joseph Chambers,film,2022,"['Clayne Crawford', 'Jordana Brewster', 'Jeffrey Dean Morgan', 'Colt Crawford', 'Hix Crawford', 'Carl Kennedy', 'Michael  Raymond-James', 'Charline St. Charles']","['Español', 'Inglés']",['Español']
104,El hombre del presidente,film,2020,"['Lee Byung-hun', 'Lee Sung min', 'Kwak Do-Won', 'Lee Hee-jun', 'Jerry Rector', 'Kim So-Jin', 'Eric Bernard', 'Lee Do-guk', 'Seo Hyun-woo', 'Park Sung-geun']","['Varios', 'Español']",['Español']
105,La Espía,film,2019,"['Ingrid Bolsø Berdal', 'Rolf Lassgård', 'Alexander Scheer', 'Erik Hivju', 'Edvin Endre', 'Johan Widerberg', 'Gitte Witt', 'Julius Feldmeier', 'Fredrik Lycke']","['Varios', 'Español']",['Español']
106,Pacifiction,film,2022,"['Benoît Magimel', 'Pahoa Mahagafanau', 'Marc Susini', 'Matahi Pambrun', 'Alexandre Melo', 'Sergi Lopez', 'Lluís Serrat', 'Montse  Triola']",['Varios'],"['Español', 'Catalán']"
107,Beyond the Visible - Hilma af Klint,film,2019,[],['Alemán'],['Español']
108,Un viaje de mármol,film,2021,[],['Varios'],"['Español', 'Catalán']"
109,El Maestro de Actores,film,2022,[],['Inglés'],['Español']
110,The Curse,serie,2022,"['Allan Mustafa', 'Tom Davis', 'Emer Kenny', 'Hugo Chegwin', 'Steve Stamp', 'Camille Coduri', 'Peter Ferdinando', 'Abraham Popoola', 'Geoff Bell']","['Español', 'Inglés']","['Inglés', 'Catalán', 'Español']"
111,Mi vida con Amanda,film,2018,"['Vincent Lacoste', 'Stacy Martin', 'Ophélia Kolb Kasapoglu']",['Español'],"['Español', 'Catalán']"
112,Saura(s),film,2017,['Carlos Saura'],['Español'],"['Español', 'Inglés', 'Francés']"
113,Doctor en Alaska,serie,1990,"['Rob Morrow', 'Janine Turner', 'Barry Corbin', 'John Cullum', 'Darren E. Burrows', 'John Corbett', 'Cynthia Geary', 'Elaine Miles', 'Peg Phillips', 'Teri Polo', 'Paul Provenza', 'Richard Cummings Jr.']","['Español', 'Inglés']",['Español']
114,Carmen Curlers,serie,2022,"['Morten Hee Andersen', 'Maria Rossing', 'Nicolai Jørgensen', 'Lars Ranthe', 'Mille Lehfeldt', 'Fanny Leander Bornedal', 'Kaya Toft Loholt', 'Signe Egholm Olsen', 'Petrine Agger', 'Christian Tafdrup']","['Danés', 'Español']","['Español', 'Catalán']"
115,Una lección criminal,film,2022,"['Sadawo Abe', 'Kenshi Okada', 'Shimako Iwai', 'Yu Miyazaki', 'Miho Nakayama', 'Takanori Iwata']","['Español', 'Japonés']","['Catalán', 'Español', 'Inglés']"
116,Baila con la vida,film,2021,"['Isabelle Nanty', 'Michèle Laroque', 'Thierry Lhermitte', 'Patrick Timsit', 'Jeanne Balibar', 'Antoine Duléry', 'Sofiane Chalal']","['Español [ad]', 'Francés', 'Catalán', 'Español']","['Español', 'Español', 'Catalán']"
117,Peligrosos juegos de familia,film,2022,"['Guillaume Cyr', 'Pierre-Paul Alain', 'Luc Picard', 'Micheline Lanctôt', 'Sebastien Beaulac', 'Jason Cavalier', 'Julien Poulin', 'Karine Vanasse']","['Francés', 'Español']",['Español']
118,El asesinato de Kenneth Chamberlain,film,2020,"['Frankie Faison', ""Steve O'Connell"", 'Enrico Natale', 'Ben Marten', 'Angela Peel', 'Tom McElroy', 'LaRoyce Hawkins', 'Christopher R Ellis', 'Anika Noni Rose', 'Antonio Polk']",['Español'],"['Español', 'Catalán']"
119,"Yo, tú, él, ella",film,1974,"['Chantal Akerman', 'Niels Arestrup', 'Claire Wauthion']",['Francés'],['Español']
120,Haulout,short,2022,[],['Original'],"['Español', 'Inglés']"
121,Romantic Comedy,film,2019,[],['Inglés'],['Español']
122,Una casa hecha de astillas,film,2022,[],['Varios'],"['Español', 'Inglés']"
123,El escándalo Norbourg,film,2022,"['François Arnaud', 'Vincent-Guillaume Otis', 'Christine Beaulieu', 'Paul Henry Athis', 'Jean-François Beaupré', 'Paul Doucet', 'Richard Fréchette', 'Jonathan Gagnon', 'Christopher James Giannini', 'Alex Godbout']","['Francés', 'Español']",['Español']
124,Dentro del Chelsea Hotel,film,2021,[],['Varios'],"['Español', 'Catalán']"
125,Hotel El Balneario,serie,2019,"['Amalie Dollerup', 'Lars Ranthe', 'Ann Louise Hassing', 'Merete Maerkedahl', 'Ulla Vejby', 'Benedikte Hansen', 'Anders Juul']","['Danés', 'Español']",['Español']
